time,mmsi,nav_status,sog,cog,rot,true_head,lon,lat,draught,dis,delta_time,phase
1667265688,357420000,0,7.3,1482,0,144,113.688797,22.6364,0,0.107806444,30,maneuvering
1667265701,357420000,0,7.7,1485,0,144,113.689003,22.636101,82,0.03939989,13,maneuvering
1667265710,357420000,0,8,1488,0,144,113.689201,22.6357,82,0.049001176,9,maneuvering
1667265721,357420000,0,8.5,1487,0,144,113.6894,22.635401,82,0.039019242,11,maneuvering
1667265731,357420000,0,8.8,1476,0,144,113.689697,22.635,82,0.05401196,10,maneuvering
1667265738,357420000,0,9.1,1483,0,145,113.689903,22.634701,0,0.03939989,7,maneuvering
1667265749,357420000,0,9.5,1491,0,144,113.690147,22.634331,82,0.048163954,11,maneuvering
1667265760,357420000,0,9.9,1491,0,144,113.690399,22.6339,82,0.054458316,11,maneuvering
1667265770,357420000,0,10.1,1477,0,145,113.690697,22.633499,82,0.054070167,10,maneuvering
1667265800,357420000,0,10.9,1486,0,144,113.691498,22.632299,82,0.1567252,30,maneuvering
1667265807,357420000,0,11.1,1480,0,144,113.691803,22.6318,0,0.06370714,7,maneuvering
1667265828,357420000,0,11.7,1480,0,144,113.692398,22.630899,0,0.11733073,21,sea
1667265841,357420000,0,11.9,1471,0,144,113.692802,22.6304,82,0.06926743,13,sea
1667265848,357420000,0,12.2,1471,0,145,113.6931,22.6299,0,0.063454896,7,sea
1667265869,357420000,0,12.8,1476,0,145,113.693802,22.628901,0,0.13240361,21,sea
1667265888,357420000,0,13.3,1474,0,145,113.694504,22.627899,0,0.13268387,19,sea
1667265901,357420000,0,13.5,1476,0,146,113.694901,22.6273,82,0.078080736,13,sea
1667265908,357420000,0,13.7,1493,0,145,113.695198,22.626801,82,0.06330829,7,sea
1667265912,357420000,0,13.7,1493,0,145,113.695198,22.626801,82,0,4,sea
1667265929,357420000,0,14.1,1477,0,145,113.695999,22.625601,0,0.1567273,17,sea
1667265943,357420000,0,14.3,1476,0,145,113.696404,22.625,82,0.07870147,14,sea
1667265949,357420000,0,14.4,1468,0,145,113.696701,22.6245,0,0.06340602,6,sea
1667265968,357420000,0,14.7,1473,0,147,113.697403,22.6236,82,0.12331511,19,sea
1667265972,357420000,0,14.8,1477,0,147,113.697502,22.6234,82,0.024450416,4,sea
1667265979,357420000,0,14.9,1487,0,148,113.6978,22.6229,82,0.063455604,7,sea
1667265989,357420000,0,15,1496,0,148,113.698196,22.622299,0,0.07821792,10,sea
1667266002,357420000,0,15.2,1499,0,148,113.698753,22.621481,82,0.10743243,13,sea
1667266007,357420000,0,15.2,1498,0,148,113.698997,22.621099,0,0.04930994,5,sea
1667266015,357420000,0,15.3,1499,0,148,113.699203,22.620701,82,0.04904714,8,sea
1667266021,357420000,0,15.4,1498,0,148,113.699501,22.6203,82,0.054071832,6,sea
1667266027,357420000,0,15.4,1498,0,148,113.699699,22.620001,82,0.03896677,6,sea
1667266039,357420000,0,15.5,1504,0,148,113.700104,22.6192,82,0.09829052,12,sea
1667266045,357420000,0,15.6,1502,0,148,113.700401,22.618799,82,0.054014046,6,sea
1667266049,357420000,0,15.6,1494,0,149,113.7006,22.6185,0,0.039020512,4,sea
1667266057,357420000,0,15.7,1495,0,150,113.700897,22.618099,82,0.054014046,8,sea
1667266062,357420000,0,15.7,1494,127,151,113.701103,22.617729,82,0.046257492,5,sea
1667266072,357420000,0,15.8,1499,0,153,113.701401,22.617201,82,0.06620106,10,sea
1667266078,357420000,0,15.8,1508,0,156,113.701698,22.6168,82,0.0540143,6,sea
1667266091,357420000,0,15.7,1553,0,159,113.702103,22.6159,82,0.10836629,13,sea
1667266097,357420000,0,15.7,1564,0,160,113.702301,22.615499,82,0.049002558,6,sea
1667266103,357420000,0,15.7,1587,0,160,113.702499,22.615101,82,0.04869925,6,sea
1667266110,357420000,0,15.7,1595,0,160,113.702698,22.614599,82,0.05943992,7,sea
1667266122,357420000,0,15.7,1597,0,160,113.703003,22.613701,82,0.1046459,12,sea
1667266128,357420000,0,15.7,1605,0,160,113.703186,22.613314,82,0.046953574,6,sea
1667266134,357420000,0,15.7,1610,0,160,113.7033,22.6129,82,0.047498714,6,sea
1667266141,357420000,0,15.7,1606,0,160,113.703499,22.6124,82,0.059231143,7,sea
1667266148,357420000,0,15.7,1607,0,160,113.703697,22.612101,0,0.038967352,7,sea
1667266188,357420000,0,15.7,1606,0,160,113.704765,22.609154,82,0.34554338,40,sea
1667266193,357420000,0,15.7,1610,0,160,113.704903,22.6087,0,0.05243243,5,sea
1667266204,357420000,0,15.7,1605,0,159,113.705231,22.607912,82,0.09386788,11,sea
1667266211,357420000,0,15.7,1600,0,159,113.705399,22.607599,82,0.038842253,7,sea
1667266230,357420000,0,15.7,1597,0,160,113.705902,22.6063,82,0.15339363,19,sea
1667266248,357420000,0,15.5,1606,0,159,113.70636,22.605036,0,0.14820528,18,sea
1667266260,357420000,0,15.3,1601,0,159,113.706703,22.6042,0,0.09940385,12,sea
1667266268,357420000,0,15.2,1595,0,159,113.706802,22.6038,82,0.045624316,8,sea
1667266302,357420000,0,14.8,1592,0,158,113.707802,22.6015,82,0.2755816,34,sea
1667266308,357420000,0,14.8,1589,0,159,113.707901,22.601101,82,0.045515936,6,sea
1667266314,357420000,0,14.8,1590,0,159,113.708099,22.6007,82,0.049003474,6,sea
1667266327,357420000,0,14.7,1599,0,159,113.708397,22.6,82,0.083632335,13,sea
1667266345,357420000,0,14.6,1603,0,160,113.708801,22.5989,82,0.12915446,18,sea
1667266368,357420000,0,14.6,1600,0,160,113.709396,22.5972,0,0.19865508,23,sea
1667266375,357420000,0,14.6,1603,0,160,113.709602,22.596901,82,0.039403092,7,sea
1667266382,357420000,0,14.5,1606,0,160,113.709702,22.5965,82,0.04575569,7,sea
1667266387,357420000,0,14.5,1606,0,160,113.7099,22.5961,82,0.048902493,5,sea
1667266399,357420000,0,14.5,1606,0,160,113.710197,22.595301,82,0.09393104,12,sea
1667266422,357420000,0,14.5,1597,0,160,113.7108,22.5938,0,0.17801397,23,sea
1667266430,357420000,0,14.5,1597,0,159,113.710899,22.593399,82,0.045732837,8,sea
1667266434,357420000,0,14.5,1596,0,159,113.71109,22.59305,82,0.043479566,4,sea
1667266440,357420000,0,14.5,1594,0,159,113.711197,22.592699,0,0.040545844,6,sea
1667266447,357420000,0,14.5,1591,0,159,113.711403,22.5923,82,0.049149383,7,sea
1667266453,357420000,0,14.5,1590,0,160,113.711502,22.591999,82,0.03497901,6,sea
1667266460,357420000,0,14.5,1589,0,160,113.7117,22.591499,82,0.05919697,7,sea
1667266465,357420000,0,14.5,1590,0,160,113.711899,22.5912,82,0.039022706,5,sea
1667266476,357420000,0,14.6,1593,0,160,113.712196,22.5903,0,0.10461739,11,sea
1667266488,357420000,0,14.6,1599,0,160,113.712502,22.5896,82,0.083937034,12,sea
